ROUGE-Type,Task Name,Avg_Recall,Avg_Precision,Avg_F-Score,Task
ROUGE-1+StopWordRemoval,TASK1,0.10853,0.18667,0.13725,1
ROUGE-L+StopWordRemoval,TASK1,0.11538,0.13636,0.125,1
ROUGE-SU4+StopWordRemoval,TASK1,0.03014,0.05105,0.0379,1
ROUGE-2+StopWordRemoval,TASK1,0.02083,0.03546,0.02625,1
ROUGE-1+StopWordRemoval,TASK2,0.10156,0.07222,0.08442,2
ROUGE-L+StopWordRemoval,TASK2,0.06316,0.04225,0.05063,2
ROUGE-SU4+StopWordRemoval,TASK2,0.0339,0.02242,0.02699,2
ROUGE-2+StopWordRemoval,TASK2,0.02632,0.01765,0.02113,2
ROUGE-L+StopWordRemoval,TASK3,0.08974,0.09859,0.09396,3
ROUGE-1+StopWordRemoval,TASK3,0.07752,0.10363,0.08869,3
ROUGE-SU4+StopWordRemoval,TASK3,0.02748,0.03584,0.03111,3
ROUGE-2+StopWordRemoval,TASK3,0.00833,0.01093,0.00946,3
ROUGE-1+StopWordRemoval,TASK4,0.10465,0.19149,0.13534,4
ROUGE-L+StopWordRemoval,TASK4,0.11538,0.14634,0.12903,4
ROUGE-SU4+StopWordRemoval,TASK4,0.03635,0.06678,0.04707,4
ROUGE-2+StopWordRemoval,TASK4,0.02083,0.03817,0.02695,4
ROUGE-1+StopWordRemoval,TASK5,0.0969,0.1773,0.12531,5
ROUGE-L+StopWordRemoval,TASK5,0.10256,0.14035,0.11852,5
ROUGE-SU4+StopWordRemoval,TASK5,0.02926,0.05348,0.03782,5
ROUGE-2+StopWordRemoval,TASK5,0.025,0.0458,0.03235,5
ROUGE-1+StopWordRemoval,TASK6,0.11628,0.17751,0.14052,6
ROUGE-L+StopWordRemoval,TASK6,0.07051,0.08271,0.07612,6
ROUGE-SU4+StopWordRemoval,TASK6,0.04078,0.06125,0.04896,6
ROUGE-2+StopWordRemoval,TASK6,0.02917,0.04403,0.03509,6
ROUGE-1+StopWordRemoval,TASK7,0.058,0.11211,0.07645,7
ROUGE-L+StopWordRemoval,TASK7,0.06009,0.07778,0.0678,7
ROUGE-SU4+StopWordRemoval,TASK7,0.01414,0.02512,0.01809,7
ROUGE-2+StopWordRemoval,TASK7,0,0,0,7
ROUGE-1+StopWordRemoval,TASK8,0.12529,0.27979,0.17308,8
ROUGE-L+StopWordRemoval,TASK8,0.12017,0.17284,0.14177,8
ROUGE-SU4+StopWordRemoval,TASK8,0.03589,0.0763,0.04882,8
ROUGE-2+StopWordRemoval,TASK8,0.01511,0.03279,0.02069,8
ROUGE-1+StopWordRemoval,TASK9,0.03721,0.08122,0.05104,9
ROUGE-L+StopWordRemoval,TASK9,0.03863,0.05769,0.04627,9
ROUGE-SU4+StopWordRemoval,TASK9,0.00866,0.01802,0.0117,9
ROUGE-2+StopWordRemoval,TASK9,0,0,0,9
ROUGE-L+StopWordRemoval,TASK10,0.04721,0.07006,0.05641,10
ROUGE-1+StopWordRemoval,TASK10,0.03023,0.07303,0.04276,10
ROUGE-SU4+StopWordRemoval,TASK10,0.00703,0.01646,0.00986,10
ROUGE-2+StopWordRemoval,TASK10,0,0,0,10
ROUGE-1+StopWordRemoval,TASK11,0.16842,0.13913,0.15238,11
ROUGE-L+StopWordRemoval,TASK11,0.13223,0.08511,0.10356,11
ROUGE-SU4+StopWordRemoval,TASK11,0.05416,0.04034,0.04624,11
ROUGE-2+StopWordRemoval,TASK11,0.02907,0.02262,0.02545,11
ROUGE-1+StopWordRemoval,TASK12,0.14211,0.11842,0.12919,12
ROUGE-L+StopWordRemoval,TASK12,0.13223,0.08556,0.1039,12
ROUGE-SU4+StopWordRemoval,TASK12,0.0466,0.03491,0.03991,12
ROUGE-2+StopWordRemoval,TASK12,0.0407,0.03196,0.03581,12
ROUGE-1+StopWordRemoval,TASK13,0.04651,0.075,0.05742,13
ROUGE-L+StopWordRemoval,TASK13,0.05128,0.06202,0.05614,13
ROUGE-SU4+StopWordRemoval,TASK13,0.01064,0.01667,0.01299,13
ROUGE-2+StopWordRemoval,TASK13,0,0,0,13
ROUGE-L+StopWordRemoval,TASK14,0.09013,0.12805,0.10579,14
ROUGE-1+StopWordRemoval,TASK14,0.07584,0.15,0.10075,14
ROUGE-SU4+StopWordRemoval,TASK14,0.02336,0.04625,0.03104,14
ROUGE-2+StopWordRemoval,TASK14,0.01497,0.02941,0.01984,14
ROUGE-1+StopWordRemoval,TASK15,0.13457,0.29,0.18384,15
ROUGE-L+StopWordRemoval,TASK15,0.12876,0.18634,0.15228,15
ROUGE-SU4+StopWordRemoval,TASK15,0.05329,0.10817,0.0714,15
ROUGE-2+StopWordRemoval,TASK15,0.03023,0.06316,0.04089,15
ROUGE-1+StopWordRemoval,TASK16,0.12683,0.1383,0.13232,16
ROUGE-L+StopWordRemoval,TASK16,0.11594,0.10959,0.11268,16
ROUGE-SU4+StopWordRemoval,TASK16,0.03393,0.0381,0.03589,16
ROUGE-2+StopWordRemoval,TASK16,0.02051,0.02247,0.02145,16
ROUGE-L+StopWordRemoval,TASK17,0.16495,0.1039,0.12749,17
ROUGE-1+StopWordRemoval,TASK17,0.15385,0.10753,0.12658,17
ROUGE-SU4+StopWordRemoval,TASK17,0.04089,0.02632,0.03202,17
ROUGE-2+StopWordRemoval,TASK17,0.00855,0.00568,0.00683,17
ROUGE-1+StopWordRemoval,TASK18,0.19231,0.08993,0.12255,18
ROUGE-L+StopWordRemoval,TASK18,0.15464,0.07246,0.09868,18
ROUGE-SU4+StopWordRemoval,TASK18,0.05762,0.02403,0.03392,18
ROUGE-2+StopWordRemoval,TASK18,0.02564,0.01119,0.01558,18
ROUGE-1+StopWordRemoval,TASK19,0.13333,0.18627,0.15542,19
ROUGE-L+StopWordRemoval,TASK19,0.14607,0.14607,0.14607,19
ROUGE-SU4+StopWordRemoval,TASK19,0.03482,0.04674,0.03991,19
ROUGE-2+StopWordRemoval,TASK19,0.01128,0.01546,0.01304,19