,GROUP1,GROUP2,GROUP3,GROUP4,GROUP5,GROUP6,GROUP7,GROUP8,GROUP9,GROUP10,GROUP11,GROUP12,GROUP13,GROUP14,GROUP15,GROUP16,GROUP17,GROUP18,GROUP19
0.01,0.29487,0.16842,0.14744,0.39103,0.19231,0.14103,0.02146,0.23605,0.12876,0.11159,0.24793,0.08264,0.02564,0.16309,0.25751,0.17391,0.46392,0.6701,0.20787
0.02,0.29487,0.16842,0.14744,0.37821,0.19231,0.14103,0.02146,0.23605,0.14163,0.11159,0.24793,0.08264,0.02564,0.17167,0.26609,0.17391,0.46392,0.6701,0.20787
0.03,0.26923,0.18947,0.14744,0.35256,0.19872,0.14103,0.02146,0.23176,0.13734,0.11159,0.22314,0.04132,0.02564,0.16738,0.24893,0.16667,0.46392,0.65979,0.20225
0.04,0.25,0.17895,0.14103,0.32692,0.17949,0.14103,0.02146,0.22747,0.14163,0.09013,0.22314,0.04132,0.02564,0.1588,0.24034,0.16667,0.46392,0.64948,0.21348
0.05,0.25,0.2,0.14103,0.23077,0.17949,0.14103,0.02146,0.24034,0.14163,0.1073,0.22314,0.04132,0.02564,0.15021,0.22747,0.17391,0.46392,0.61856,0.11798
0.06,0.21154,0.22105,0.16026,0.26923,0.17949,0.13462,0.02146,0.21888,0.13305,0.12017,0.19008,0.04132,0.02564,0.15021,0.23605,0.17391,0.4433,0.61856,0.11236
0.07,0.16667,0.22105,0.12179,0.25,0.15385,0.13462,0.02146,0.24464,0.12017,0.07296,0.22314,0.04132,0.02564,0.13734,0.01288,0.14493,0.4433,0.58763,0.10674
0.08,0.16667,0.22105,0.11538,0.20513,0.15385,0.12821,0.02146,0.21459,0.11588,0.07725,0.22314,0.04132,0.02564,0.15021,0.00429,0.15942,0.4433,0.58763,0.10674
0.09,0.14744,0.21053,0.11538,0.19872,0.15385,0.11538,0.02146,0.19313,0.103,0.06867,0.21488,0.04132,0.02564,0.13734,0.00429,0.13768,0.42268,0.5567,0.10674
0.1,0.14744,0.2,0.11538,0.17949,0.15385,0.10897,0.02146,0.2103,0.09442,0.06438,0.21488,0.04132,0.02564,0.15021,0.00429,0.14493,0.41237,0.51546,0.10674
0.11,0.15385,0.2,0.10256,0.17949,0.15385,0.07051,0.02146,0.20601,0.08155,0.06438,0.19008,0.04132,0.02564,0.14592,0.00429,0.13043,0.40206,0.50515,0.10112
0.12,0.21795,0.2,0.08974,0.17949,0.10256,0.0641,0.02146,0.20172,0.103,0.06009,0.1405,0.04132,0.02564,0.14163,0.00429,0.13043,0.39175,0.50515,0.10674
0.13,0.21154,0.18947,0.08974,0.17308,0.10256,0.0641,0.02146,0.17167,0.09871,0.06009,0.1405,0.04132,0.02564,0.14592,0.00429,0.10145,0.38144,0.47423,0.10674
0.14,0.19231,0.2,0.07692,0.17308,0.08974,0.09615,0.02146,0.14592,0.09442,0.06438,0.19835,0.04132,0.02564,0.16309,0.00429,0.10145,0.38144,0.48454,0.10674
0.15,0.07051,0.17895,0.04487,0.16667,0.08974,0.04487,0.02146,0.1588,0.09442,0.05579,0.19008,0.04132,0.02564,0.17167,0.00429,0.10145,0.35052,0.45361,0.10674
0.16,0.13462,0.2,0.04487,0.16026,0.08974,0.03205,0.02146,0.16309,0.08584,0.05579,0.17355,0.04132,0.02564,0.14163,0.00429,0.13768,0.31959,0.4433,0.10112
0.17,0.10897,0.18947,0.02564,0.16667,0.08333,0.07051,0.02146,0.16309,0.08584,0.05579,0.15702,0.04132,0.02564,0.14163,0.00429,0.08696,0.30928,0.49485,0.10112
0.18,0.10897,0.18947,0.02564,0,0.08333,0.03205,0.02146,0.15021,0.09871,0.05579,0.14876,0.04132,0.02564,0.12876,0.00429,0.12319,0.2268,0.47423,0.10112
0.19,0.11538,0.16842,0.02564,0,0.08333,0.03205,0.01288,0.13734,0.09871,0.05579,0.19008,0.04132,0.02564,0.14592,0.00429,0.08696,0.24742,0.42268,0.10112
0.2,0.12179,0.14737,0.04487,0,0.08333,0.02564,0.01288,0.13734,0.09871,0.05579,0.12397,0.04132,0.02564,0.12446,0.00429,0.0942,0.23711,0.43299,0.10112
0.21,0,0.16842,0.04487,0,0.08333,0.04487,0.01288,0.15021,0.09871,0.05579,0.1157,0.04132,0.02564,0.14592,0.00429,0.08696,0.23711,0,0.10112
0.22,0,0.16842,0.02564,0,0.08333,0.04487,0.01288,0.14592,0.08584,0.05579,0.06612,0.04132,0.02564,0.15451,0.00429,0.08696,0.2268,0,0.10112
0.23,0,0.15789,0.02564,0,0.08333,0.03205,0.01288,0.16738,0.09871,0.05579,0.05785,0.04132,0.02564,0.14592,0.00429,0.07246,0.09278,0,0.10112
0.24,0,0.14737,0.02564,0,0.05128,0.02564,0.01288,0.17167,0.09013,0.04721,0.08264,0.04132,0.02564,0.14592,0.00429,0.07246,0.13402,0,0.09551
0.25,0,0.14737,0.02564,0,0.04487,0.05128,0.01288,0.18455,0.09013,0.04721,0.06612,0.04132,0.02564,0.13305,0.00429,0.05797,0.13402,0,0.0618
0.26,0,0.13684,0.02564,0,0.02564,0.02564,0.01288,0.17597,0.08155,0.06009,0.06612,0.04132,0.02564,0.12446,0.00429,0.06522,0.13402,0,0.0618
0.27,0,0.14737,0,0,0.02564,0.02564,0.01288,0.17597,0.06867,0.05579,0.10744,0.04132,0.02564,0.103,0.00429,0.04348,0.02062,0,0.07303
0.28,0,0.17895,0,0,0.02564,0.02564,0.01288,0.17167,0.07725,0.0515,0.1405,0.04132,0.02564,0.09013,0.00429,0.04348,0.02062,0,0.07303
0.29,0,0.15789,0,0,0.02564,0.02564,0.01288,0.1588,0.07725,0.04292,0.09917,0.04132,0.02564,0.11588,0.00429,0.04348,0.02062,0,0.08989
0.3,0,0.13684,0,0,0.02564,0.02564,0.00858,0.14592,0.07725,0.04292,0.09917,0.04132,0.02564,0.103,0.00429,0.04348,0.02062,0,0.07303
0.31,0,0.13684,0,0,0.02564,0.02564,0.00858,0.08584,0.06009,0.04292,0.09917,0.04132,0.02564,0.08584,0.00429,0.04348,0.02062,0,0.07303
0.32,0,0.17895,0,0,0.02564,0,0.00858,0.08584,0.06009,0.03433,0.02479,0.04132,0.02564,0.07725,0.00429,0,0.02062,0,0.07303
0.33,0,0.13684,0,0,0.02564,0,0.00858,0.07725,0.00858,0.04292,0.07438,0.04132,0.02564,0.09442,0.00429,0,0.02062,0,0.01685
0.34,0,0.13684,0,0,0.02564,0,0,0.0515,0,0.04292,0.01653,0.04132,0.02564,0.07296,0.00429,0.05797,0.02062,0,0.01685
0.35,0,0.15789,0,0,0.02564,0,0,0.04721,0,0.03433,0.01653,0.04132,0.02564,0.05579,0.00429,0.03623,0,0,0
0.36,0,0.14737,0,0,0.02564,0,0,0.0515,0,0.03433,0.01653,0.04132,0.02564,0.06009,0.00429,0.03623,0,0,0
0.37,0,0.16842,0,0,0.02564,0,0,0.04721,0,0,0.01653,0.04132,0.02564,0.06009,0.00429,0.03623,0,0,0
0.38,0,0.15789,0,0,0.0641,0,0,0.06009,0,0,0.05785,0.04132,0.02564,0.04721,0.00429,0.03623,0,0,0
0.39,0,0.15789,0,0,0.0641,0,0,0.06009,0,0,0.01653,0.04132,0.02564,0.03004,0,0.04348,0,0,0
0.4,0,0.15789,0,0,0.0641,0,,0.06009,0,0.02575,0.01653,0.01653,0.02564,0.02146,0,0.05797,0,0,0
0.41,0,0.14737,0,0,0.0641,0.01282,,0.03004,0,0.02575,0.01653,0,0.02564,0.02146,0,0.07246,0,0,0
0.42,0,0.13684,0,0,0.0641,0.01282,,0,0,0.02575,0.01653,0,0.02564,0.02575,0,0.04348,0,0,0
0.43,0,0.14737,0,0,0.0641,0.01282,,0,0,0.02575,0.01653,0.02479,0.02564,0.02575,0,0.05072,0,0,0
0.44,0,0.14737,0,0,0,0.01282,,0,0,0.03433,0.01653,0.02479,0.02564,0.01717,0,0.07971,0,0,0.01685
0.45,0,0.13684,0,0,0,0.01282,,0,0,0.03433,0.01653,0.02479,0.02564,0.02575,0,0.04348,0,0,0.01685
0.46,0,0.12632,0,0,,0.01282,,0,0,0.03433,0.01653,0.02479,0.02564,0.06438,0,0.04348,0,0,0.01685
0.47,0,0.14737,0,0,,0.01282,,0,0,0.02575,0.01653,0.02479,0.02564,0.06009,0,0.04348,0,0,0.01685
0.48,0,0.12632,0,0,,0.01282,,0,0,0.02575,0.01653,0.01653,0.02564,0.05579,0,0.04348,0,0,0.01685
0.49,0,0.11579,0,0,,0.01282,,0,0,0.02146,0.01653,0.01653,0.02564,0.05579,0,0.04348,0,0,0.01685
0.5,0,0.09474,0,0,,0,,0,0,0.01288,0.01653,0.01653,0.02564,0.03433,0,0.04348,0,0,0.01685
0.51,0,0.10526,0,0,,0,,0,0,0.00429,0.01653,0.01653,0.02564,0.02146,0,0.04348,0,0,0.01685
0.52,0,0.09474,0,0,,0,,0,0,0,0.01653,0.01653,0.02564,0.00858,0,0.04348,0,0,0.01685
0.53,0,0.10526,0,0,,0,,0,0,0,0,0.01653,0.02564,0.00858,0,0.02174,0,0,0.01685
0.54,0,0.10526,0,0,,0,,0,0,0,0,0,0.02564,0.00858,0,,0,0,0.01685
0.55,0,0.10526,0,0,,0,,0,0,0,0,0,0.02564,0.00858,0,,0,0,0.01685
0.56,0,0.10526,0,0,,0,,0,0,0,0,,0.02564,0.01288,0,,0,0,0
0.57,0,0,0,0,,0,,0,0,0,0,,0.02564,0.01288,0,,0,0,0
0.58,0,0,0,0,,0,,0,0,0,0,,0.02564,0.01288,0,,0,0,0
0.59,0,0,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.6,0,0.05263,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.61,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.62,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.63,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.64,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0.00858,0,,0,0,0
0.65,0,0.04211,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.66,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.67,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.68,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.69,0,0.03158,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.7,0,0,0,0,,0,,0,0,0,0,,0.02564,0,0,,0,0,0
0.71,0,0,0,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.72,0,0,0,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.73,0,0,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.74,0,0,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.75,0,0.03158,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.76,0,0.03158,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.77,0,0.03158,,0,,,,0,0,0,0,,0.02564,0,0,,0,0,0
0.78,0,0.03158,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.79,0,0.03158,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.8,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.81,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.82,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.83,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.84,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.85,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.86,0,0,,0,,,,0,0,0,0,,0,0,0,,0,0,0
0.87,0,0,,0,,,,0,0,0,0,,0,0.00858,0,,0,0,0
0.88,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.89,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.9,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.91,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.92,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.93,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.94,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.95,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.96,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.97,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.98,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0
0.99,0,0,,0,,,,0,0,0,0,,0,0.00429,0,,0,0,0